id,question,answer,shorted_order,status,create_date,modify_date
1,What is Collar Check? ,"Collar Check is a platform that replaces traditional CVs by allowing employees to build a verified digital CV. It helps employees create a trusted work history through employer-verified employment details and reviews & ratings. The platform also allows companies to know their Candidate pre-interview, creating transparency, authenticity, and credibility for both employers and employees in the hiring process. ",1,1,2025-06-27 13:19:46,2025-07-02 16:45:18
2, How is Collar Check verifying the information? ,"Collar Check itself does not verify any information. Instead, it serves as a platform where employees add their employment details, such as company name, joining date, salary, designation, and department. This data is then sent to the respective employer for verification. Once verified, the employer can provide reviews and ratings, making the profile authentic and backed by real experiences.",2,1,2025-06-27 13:19:46,2025-07-02 16:45:30
3,Are the reviews and salary open to the public?,"No, salaries and reviews are completely private. Only the employee and their current employer can view them. If another employer wants access, they must request it through the platform, and the employee can choose to grant or deny access, even setting a time limit after which the access is automatically revoked.\r\n",3,1,2025-06-27 13:19:46,2025-07-02 16:45:39
10,Who will write the review?,The authorised person managing the company’s Collar Check account is responsible for writing reviews about employees who have been added and verified by the company. ,4,1,2025-06-30 12:33:50,2025-07-02 16:45:50
11,"As an employer, why should I verify my employees on Collar Check? Doesn’t that risk exposing my talent to other companies? ","Your employees’ information is already visible on platforms like LinkedIn. Collar Check doesn’t expose them, it protects you. If someone wants to leave, they will, with or without Collar Check. But by verifying them here, you gain tools that benefit you: you can motivate and retain good employees with positive reviews, and you can responsibly report misconduct by bad employees, something no other platform\r\noffers. By participating, you help shape a more transparent hiring environment that reduces bad hires and recognises truly good employees. ",5,1,2025-06-30 12:35:00,2025-07-02 16:46:25
12,Why would a company choose to use Collar Check?,"Companies will join Collar Check because it saves time, reduces bad hires, and brings unmatched transparency to the hiring process. Instead of relying solely on exaggerated CVs or delayed background checks, employers can access verified employee histories, real reviews, and ratings before interviews. It helps them make smarter hiring decisions, reward high performers, and flag problematic behaviour, all in one platform designed to protect their time, money, and reputation.",6,1,2025-06-30 12:35:47,2025-07-02 16:47:36
13,What motivates a company to write reviews for its employees on Collar Check? ,"Writing a review helps companies in two powerful ways: it rewards and motivates good employees by publicly acknowledging their performance (visible only with the employee's consent), and it creates a record of misconduct for problematic employees, protecting future employers and improving overall industry accountability. It’s a small step that builds a culture of transparency, reduces bad hires, and strengthens the company’s role in shaping a trustworthy professional ecosystem. ",7,1,2025-06-30 12:36:39,2025-07-02 16:46:52
14,"If a candidate has already been Collar Checked, do I still need to conduct a traditional background verification? ","It depends on what kind of information you wish to verify. If you're only looking to verify employment details, Collar Check provides all the necessary verified information. However, if you need to verify other aspects like education, criminal records, or address details, you may still need a traditional background verification (BGV) for now. In the future, Collar Check will offer all of these features, at which point a BGV will no longer be required.",8,1,2025-06-30 12:37:55,2025-07-02 16:48:00
15,How does Collar Check differ from traditional background verification? ,"Traditional background verification relies on third-party agencies or HR to verify candidate information through calls or emails to previous employers, which can result in incomplete or fabricated reports. Collar Check streamlines this process by having the previous employer directly verify the candidate's details within the platform while the candidate is still employed, ensuring authenticity and reducing the risk of errors or fake reports for a more reliable and accurate work history.",9,1,2025-06-30 12:39:36,2025-07-02 16:48:13
16,What happens if a company is not on Collar Check?,"If a company is not on Collar Check, the information entered by the employee won’t be marked as verified, and the employee won’t have any reviews or ratings from that employer. However, the employee can request their company to join Collar Check, allowing them to verify the information and provide reviews and ratings. Until then, the employee can still use Collar Check to build their profile and connect with other verified employers. ",10,1,2025-06-30 12:41:15,2025-07-02 16:48:26
18,What if my employee has not registered on Collar Check Yet?,"If your employee has not registered on Collar Check, you won’t be able to verify their employment details or write reviews about them. We recommend making it mandatory for your employees to join Collar Check, so you can verify their information and provide reviews. This ensures transparency and allows you to maintain a verified record of their performance, which benefits both your company and the employee. ",11,1,2025-06-30 12:57:56,2025-07-02 16:48:39
19,What should I do if my employer refuses to write a review for me?,"If your employer refuses to write a review about you, it’s important to discuss the significance of their feedback in helping you build your professional credibility. If they still deny or keep ignoring your request, it may indicate a lack of support for your career growth. In such cases, you should consider exploring other job opportunities with employers who value and support your professional development.",12,1,2025-06-30 13:00:08,2025-07-02 16:48:49
20,What should I do if my company doesn't have time to write a review for me? ,"With Collar Check, we allow employees to draft their own review and send it to their employer for approval. The employer can then choose to accept the review as is, edit it, or simply reject it. This gives employees the flexibility to initiate the process while still ensuring that the final review comes from the employer.",13,1,2025-06-30 13:02:13,2025-07-02 16:49:02
21,Is it possible to edit a review after it has been posted?,"Once a review has been posted, the employer has the right to edit it up to a maximum of 3 times or within a maximum of 72 hours, whichever comes first. After that, the review remains final and cannot be changed. ",14,1,2025-06-30 13:03:06,2025-06-30 13:03:06
22,When is the right time for a company to write a review for an employee?,"A company should write a review after key milestones like project completion, annual review, employee exit, or misconduct. Regular reviews help build a transparent performance record and motivate both the employee and the wider team.",15,1,2025-06-30 13:03:45,2025-06-30 13:03:45
23,How frequently can a company write reviews for an employee? ,"Reviews can be written as often as needed, depending on the situation. Writing reviews regularly for high performers or for addressing issues like misbehaviour can help maintain a transparent and motivating work environment. ",16,1,2025-06-30 13:04:34,2025-06-30 13:04:34
24,What sets Collar Check apart from LinkedIn?," Collar Check and LinkedIn serve different purposes:\r\nVerification: LinkedIn relies on users to self-report their career info, without verification. Collar Check verifies job details, salary, and performance directly with employers to ensure authenticity.\r\nReviews and Feedback: LinkedIn doesn’t allow formal performance reviews. Collar Check lets employers provide detailed reviews and ratings on employee performance.\r\n? Hiring Transparency: LinkedIn is focused on networking, while Collar Check is designed for hiring transparency, ensuring that all career information is validated by employers.\r\nIn short, Collar Check offers verified, performance-backed profiles, while LinkedIn focuses on self-presentation and networking.",17,1,2025-06-30 13:05:44,2025-07-02 16:49:43
25,Why should I ask my employer to write a review if I don’t plan on changing jobs?,"Even if you’re not planning to change jobs, asking your employer for a review on Collar Check builds a verified career profile, much like maintaining a credit score. It prepares you for future opportunities, promotions, or transfers. Starting early ensures you have a solid, recognised history whenever needed. ",18,1,2025-06-30 13:07:16,2025-07-02 16:49:59
26,What is a Star rating and what do they represent?," On CollarCheck, employees earn star ratings based on verified reviews provided by their employers.\r\nThere are two types of ratings:\r\n1. Overall Rating – This reflects the average performance rating across all verified employments and reviews throughout the employee's career.\r\n2. Current Employer Rating – This rating is based solely on the reviews and performance feedback from the employee’s current employer. These ratings help provide a quick, credible snapshot of an employee’s professional reputation and track record. ",19,1,2025-06-30 13:08:05,2025-07-02 15:56:28
28,"If my employee submits incorrect details, can I correct them as a company?","As an employer, you can directly edit and correct the employment details before verifying them. You do not need to send it back to the employee for changes. ",21,1,2025-06-30 13:10:00,2025-06-30 13:10:00
29,What is a CC ID (Collar Check ID)?,"A CC ID (Collar Check ID) is a unique identification number assigned to every individual who registers on the Collar Check platform. It serves as a digital identity for an employee’s professional history, linking all their verified employment details, reviews, and achievements to a single, trusted source. The CC ID works similarly to a national ID, providing a secure and transparent way for employers to view an individual's verified career information. ",22,1,2025-06-30 13:10:39,2025-07-02 16:50:46
30,Can my previous employer write a review about me?,"No, only your current employer can write a review about you, but only after they have verified your employment history with them on Collar Check.",23,1,2025-06-30 13:11:27,2025-07-02 16:50:58
31,How do I know if a candidate’s profile is verified? ,"You can easily identify a verified profile by the \""Verified\"" tag next to the candidate's employment details. This indicates that the information has been confirmed by the employer. Additionally, a \""Verified\"" tag next to the candidate's name shows that their identity has been verified using their National Identity Card.\r\n",24,1,2025-06-30 13:12:12,2025-06-30 13:12:12
32,How can I create a profile on Collar Check? ,"To create a profile on Collar Check, follow these simple steps:\r\n1. Sign Up: Visit the Collar Check website or download the app. Click on the \""Sign Up\"" button to start the registration process.\r\n2. Enter Personal Details: Provide your basic information, such as your name, email address, and contact number.\r\n3. Create Your CC ID: You’ll be assigned a unique Collar Check ID (CC ID), which will serve as your digital professional identity.\r\n4. Add Employment Information: Input your work history, including your current or past job roles, company names, job titles, and employment duration.\r\n5. Employer Verification: After entering your employment details, your current employer will be notified for verification. You can also ask them directly to speed up the process, making your profile more credible and complete faster.\r\n6. Build Your Profile: You can enhance your profile by requesting reviews and ratings from your current or previous employers.\r\n7. Complete Your Profile: Once everything is set up and verified, your Collar Check profile is ready to go live, offering transparency and credibility for future job opportunities.\r\nIt’s a simple and secure way to build a verified digital CV that can help you stand out to potential employers. ",25,1,2025-06-30 13:14:04,2025-07-02 16:51:27
33,Is there a cost for employers to use Collar Check?,"No, there is no cost for employers to use Collar Check. Employers can sign up, post job openings, and access verified candidate profiles free of charge.",26,1,2025-06-30 13:14:39,2025-07-02 16:51:37
34,Is there a cost for employees to use Collar Check? ,"No, there is no cost for employees to use Collar Check. Creating a profile, adding employment details, and requesting employer verification are all free of charge. This allows employees to build a verified digital CV and enhance their professional credibility without any financial investment. ",27,1,2025-06-30 13:15:24,2025-07-02 16:51:51
35,Do I have control over the reviews my company shares on my profile? ,"You can draft a review yourself and send it to your company for approval. Your company can choose to accept it as is, edit it, or reject it. However, the final decision on what gets posted rests with your employer.\r\n",28,1,2025-06-30 13:15:53,2025-06-30 13:15:53
36,What are the advantages of earning a star rating on Collar Check?,"Being a top-rated star employee on Collar Check boosts your professional credibility. It highlights your performance, reliability, and trustworthiness to current and future employers. This recognition can open doors to better career opportunities, faster promotions and a stronger professional reputation within your industry. ",29,1,2025-06-30 13:16:32,2025-07-02 16:52:10
37,How can a company save money with Collar Check?," Collar Check helps companies save by reducing background verification costs (Rs-1,500–Rs-4,000 per candidate) and preventing bad hires. It typically takes 2–3 months to identify a poor-fit employee, costing money in salary, training, and lost productivity. Collar Check provides verified reviews and ratings which help you make faster, smarter hiring decisions and avoid these losses.",30,1,2025-06-30 13:17:12,2025-07-02 16:52:25
