id,type,question,answer,status,create_date,modify_date
1,Q1,What is Collar Check?,"Collar Check is a platform that helps professionals and employers verify career histories and hiring information in one place, reducing reliance on unverified resumes.",1,,
2,Q2,Who is Collar Check for?,It is designed for both job seekers who want a credible career profile and for employers who want verified candidates which trigger faster and reliable hiring decisions.,1,,
3,Q3,Is Collar Check a job portal?,"It is more than a job portal. Along with job listings, it focuses on verified professional profiles and transparent employment history.",1,,
4,Q4,How is this different from LinkedIn or a resume?,Resumes and social profiles are self-declared. Collar Check profiles are built around verified employment history and employer feedback.,1,,
5,Q5,What is a CC ID?,A CC ID is your unique professional identity on Collar Check that stores your verified career information.,1,,
6,Q6,Do I need to be currently employed to join?,No. Professionals at any career stage including freshers and those between roles can create a profile.,1,,
7,Q7,Who can see my profile?,Your profile visibility is controlled by you. Employers only see what you choose to share.,1,,
8,Q8,Can a previous employer leave negative feedback?,Feedback is structured and moderated to ensure fairness and relevance to professional performance.,1,,
9,Q9,Is my data safe?,"Yes. Collar Check follows data protection and privacy standards, and your information is never shared without consent.",1,,
10,Q10,How does verification work?,Employment details are verified through employer confirmation and documented records rather than self-claims.,1,,
11,Q11,How long does verification take?,"Verification timelines vary depending on employer response, but the process is designed to be faster than traditional background checks.",1,,
12,Q12,Can I edit my verified information later?,"Yes. Updates can be requested, and changes go through verification before being reflected.",1,,
13,Q13,How does Collar Check help with hiring?,"It reduces hiring risk by giving access to verified career histories, saving time spent on manual background checks.",1,,
14,Q14,Can we still run our own background checks?,Yes. Collar Check complements existing hiring processes; it does not replace mandatory compliance checks.,1,,
15,Q15,What kind of roles is this useful for?,"Any role where credibility, past experience, and performance matter, from entry-level to leadership positions.",1,,
16,Q16,Can we post jobs on Collar Check?,Yes. Employers can post jobs and receive applications from verified professionals.,1,,
17,Q17,Is Collar Check free to use?,"Basic access is available, with advanced features offered through paid plans.",1,,
18,Q18,Are there charges for verification?,"Collar Check allows employees to build their profiles by getting ratings and reviews from managers/employers, which verifies their digital resume.",1,,
19,Q19,Will this affect my current job?,No. Your profile is private unless you choose to make it visible or apply for roles.,1,,
20,Q20,What if my employer is no longer operational?,"Alternative documentation and verification methods can be used, including Digilocker integration.",1,,
21,Q21,Can I delete my account?,Yes. Users can request account deletion as per privacy guidelines.,1,,
22,T1,I can't log in to my account. What should I do?,"Please check if you're using the registered email or mobile number. If the issue persists, use the 'Forgot Password' option or contact support.",1,,
23,T2,I didn't receive the OTP.,OTPs may take a few seconds. Check spam messages or retry after 30 seconds.,1,,
24,T3,Can I have multiple accounts?,Each user should maintain only one Collar Check account to ensure verification integrity.,1,,
25,T4,Can I change my registered email or mobile number?,Yes. You can update contact details from your account settings.,1,,
