id,name,status,create_date
1,Total Employee,1,
2,Total Signup employee,1,
3,Active Employee Login,1,
4,Old Employee Signin,1,
5,Immediate Joiner & Notice period,1,
6,Gender Statics,1,
7,Employee Account Verify Statics,1,
8,Employment Pending,1,
9,Employment Approved,1,
10,Review Approved,1,
11,Review Pending,1,
12,Total Company,1,
13,Company Total Signup,1,
14,Active Company Login,1,
15,Old Company Signin,1,
16,Company Account Verify Statics,1,
17,Total Claim Company,1,
18,Total Non Claim Company,1,
19,Claim Invitation Sent Statics,1,
20,Total Job Post,1,
21,Total Job Applied,1,
22,Total Enquiry,1,
23,Feedback & Suggestion,1,
24,Manual Account Verify Request,1,
25,Registration,1,
26,Registration Analytics,1,
27,Latest Employee Register,1,
28,Latest Company Registrer,1,
29,Daily Sign-up Statistics,1,
30,Monthly Job Statistics,1,
31,Geographical Coverage,1,
32,Gender Statics,1,
33,Hourly Sign-up Statistics,1,
34,Hourly Signup Comparison - Users or Companies,1,
36,% of users/Company with profile completion above 50%,1,
37,Companies invited by users to join CollarCheck,1,
38,Employees hired through CollarCheck,1,
39,Average applicants of job,1,
40,Average Signup,1,
41,Company Merge Statistics,1,
42,Month-on-month growth rate,1,
43,Industries on Collar Check,1,
44,Pending Account Verified Statics,1,
45,Company Domain/Email verification,1,
46,User Work Email Verified,1,
47,User login,1,
48,User Level Verification,1,
