id,name,short,status,type,subject,template_path,create_date,modify_date
1,Add website,WEB,1,2,Add Your Website - Boost Your Profile Completion by 5%,email/schedule/company/add_website,,
2,Profile Picture,PP,1,1,Profiles with Pictures Get 3x More Views. Ready?,email/schedule/employee/add_profile_picture_template,,
3,Add a Team member - company,ATM,1,2,Add Your First Team Member - Gain 10% Profile Completion,email/schedule/company/add_employment,,
4,Email Verification - company,EV,1,2,Verify Your Email - Complete 3% and Boost Trust Instantly!,email/schedule/company/add_email_verification_company_template,,
5,Email Verification  - employee,EV,1,1,3% Closer to Success - Just by Email Verification!,email/schedule/employee/add_email_verification_template,,
6,Account Verification - company,AV,1,2,Verify Your Company – Unlock 10% Profile Boost,email/schedule/company/account_verify_company_template,,
7,Account Verification - employee,AV,1,1,Verified Profiles Get Noticed - Secure Yours Today!,email/schedule/employee/add_account_verify_template,,
8,About — Profile Description - company,PD,1,2,Tell the World Who You Are - Add Your Company Bio,email/schedule/company/about_company,,
9,company logo,PP,1,2,Be Recognized. Add Your Company Picture & Build Trust.,email/schedule/company/add_profile_picture_company_template,,
10,Incorporate Year,ICY,1,2,Add Your Incorporation Year - Boost Credibility Instantly,email/schedule/company/incorporate_year,,
11,Add DOB,DOB,1,1,Add Your Date of Birth - Boost Your Profile by 2%!,email/schedule/employee/add_dob_template,,
12,Upload CV,UCV,1,1,Upload Your CV - Your Gateway to More Opportunities!,email/schedule/employee/add_cv_template,,
13,About — Profile Description,PD,1,1,Boost Your Profile by 5% -  Add Your Profile Description,email/schedule/employee/add_profile_description_template,,
14,Present Address,PRA,0,,,,,
15,Permanent Address,PEA,1,1,Build More Trust - Complete Your Permanent Address Today!,email/schedule/employee/add_permanent_address_template,,
16,Accommodation Type,AT,1,1,Quick Update! Add Accommodation Type,email/schedule/employee/add_accomodation_template,,
17,Country,CT,1,1,Where Are You Based? Add Your Country and Boost Your Profile!,email/schedule/employee/add_country_template,,
18,State,ST,1,1,1% Closer to a Perfect Profile — Share Your State Details!,email/schedule/employee/add_state_template,,
19,city,CY,1,1,Almost There! Add Your City and Complete 1% More!,email/schedule/employee/add_city_template,,
20,Employment History,EH,1,1,Add and Verify Your Employment History,email/schedule/employee/add_employment_history_template,,
21,Work Status,WS,1,1,Update your Work Status,email/schedule/employee/add_work_status_template,,
22,Employment history Verification,EHV,1,1,How and Why to Verify Your Employment History?,email/schedule/employee/add_employment_verification_template,,
23,Current Company,CC,1,1,Put Your Best Role Forward - Select Your Current Company,email/schedule/employee/add_current_company_template,,
24,Current Position,CP,1,1,Highlight Your Role - Choose Your Current Position,email/schedule/employee/add_current_position_template,,
25,Certifications,CR,1,1,Got Certifications? Time to Show Them Off and Boost Your Profile!,email/schedule/employee/add_certification_template,,
26,Expected Salary,ES,1,1,Let the Right Offers Find You - Update Expected Salary,email/schedule/employee/add_expected_salary_template,,
27,Education History,EDH,1,1,Showcase Your Academic Journey - Add Education History!,email/schedule/employee/add_education_template,,
28,Skills,SK,1,1,Your skills are your strengths - and they deserve the spotlight.,email/schedule/employee/add_skill_template,,
29,My Lingo,LAN,1,1,What Languages Do You Speak? Add Them and Boost Your Profile!,email/schedule/employee/add_language_template,,
30,Social Media Links,SML,1,2,Add Your Social Media - Boost Profile by 3%,email/schedule/company/social_media,,
31,Review,RW,1,1,Did Something Great? Let's Make It Count - Add Your Review!,email/schedule/employee/add_review_template,,
32,Gallery,GL,1,2,Show Off Your Workplace - Add Photos,email/schedule/company/add_gallery,,
33,Request user to invite the company,IUSI,1,1,Just One Step Away -⏳ Reminder to Get Your Employment Verified,email/schedule/employee/request_user_to_invite_company,,
34,Industry type,INT,1,2,Tell Us What Industry You're In - It Helps Us Match You Better,email/schedule/company/add_industry_type,,
35,Immedieate Joiner,IMJ,1,1,Ready to Join Immediately? Let Employers Know!,email/schedule/employee/immedieat_joiner,,
36,"missing - country , state , city",CSC,1,1,Ready to Join Immediately? Let Employers Know!,email/schedule/employee/missing_location,,
37,Office Address,PRA,1,2,Add Your Office Address - Boost Your Profile by 2%,email/schedule/company/add_address,,
38,State & city,STC,1,2,Just 4% Away - Add Your Company's City & State,email/schedule/company/state_city,,
39,State,ST,1,2,Just 2% Away - Add the State in which your Company Thrives,email/schedule/company/state,,
40,city,CY,1,2,Just 2% Away - Add the City Where Your Company Operates,email/schedule/company/city,,
41,Perk & Benefit,PNB,1,2,Stand Out with Your Work Culture,email/schedule/company/perk_benefit,,
42,Increase employment count,IEC,1,2,Update Employee Count = More Credible Profile,email/schedule/company/increase_employment_count,,
43,mis,,0,0,Add Your Location Details Today,,,
44,Welcome onboarding,WOU,1,1,Welcome to Collar Check-we're thrilled to have you on board!,email/trigger/onboarding_thankyou_user,,
45,Welcome onboarding,WOC,1,2,"Welcome to Collar Check - Empowering You to Build a Trusted, Verified Workforce",email/trigger/onboarding_company,,
46,Onboarding user,OU,0,3,,,,
47,Onboarding company,OC,0,3,,,,
48,Onboarding thankyou user,OTU,0,3,,,,
49,Invite company by user,ICBU,0,3,,,,
50,Company invite,CI,0,3,,,,
51,User profile view request,UPVR,0,3,,,,
52,Accept user profile view request,AUPCR,0,3,,,,
53,Enquiry template,ET,0,3,,,,
54,Sendreminder,SR,0,3,,,,
55,Company has accepted your employment request,CAER,0,3,,,,
56,Company has accepted your employment request user,CAERE,0,3,,,,
57,Sent you a follow request User,FRU,0,3,,,,
58,Sent you a follow request Company,FRU,0,3,,,,
59,You have 1 new message,GMU,0,3,,email/trigger/got_new_message,,
60,Got a Message Company,GMC,0,3,,,,
61,Replied to a message user,RMU,0,3,,,,
62,Replied to a message company,RMC,0,3,,,,
63,XX Hours profile view user,HPVU,0,3,,,,
64,XX Hours profile view company,HPVC,0,3,,,,
65,You requested a review user,RRU,0,3,,,,
66,You requested a review company,RRC,0,3,,,,
67,Nudge: 2–3 days after initial request user,NIRU,0,3,,,,
68,Nudge: 2–3 days after initial request company,NIRUC,0,3,,,,
69,Review Completion Notification user,RCNU,0,3,,,,
70,Review Completion Notification company,RCNC,0,3,,,,
71,Company Requested to View Candidate's profile,CRVCP,0,3,,,,
72,Post-Review Follow up user,PRFPU,0,1,Keep Your Profile Strong with More Reviews,email/schedule/employee/post_review_follow_up_user,,
73,Post-Review Follow up company,PRFPC,0,2,Thank You! Keep Sharing Feedback,email/schedule/company/post_review_follow_up_company,,
74,Similar Job Openng user,SJOU,0,1,A job just opened up  and it matches your profile!,email/schedule/employee/similar_job_opening_user,,
75,Your review request was rejected by the employer,RJEU,0,3,,,,
76,Your review request was rejected by the Company,RJC,0,3,,,,
77,The job you had applied for is now closed user,JACU,0,3,,,,
78,The job you had applied for is now closed company,JACC,0,3,,,,
79,You have left the organisation user,LOU,0,3,,,,
80,You have left the organisation company,LOC,0,3,,,,
81,Your notice period is about to end (Find a job) user,NPEU,0,3,,,,
82,Your notice period is about to end (Find a job) company,NPEC,0,3,,,,
83,"You have been marked as immediate joiner, explore jobs user",MIEU,0,3,,,,
84,"You have been marked as immediate joiner, explore jobs company",MIEC,0,2,Verified Immediate Joiners Ready to Join Your Team,email/schedule/company/marked_as_immediate_joiner_explore_jobs_company,,
85,Employment Verification Requested user,EVRU,0,3,,,,
86,Employment Verification Requested company,NVRC,0,3,,,,
88,Gentle Reminder (if verification is pending) company,GRC,0,2,Gentle Reminder: Employee Verification Pending,email/schedule/company/gentle_reminder_company,,
89,Employment Verification Completed user,EVCU,0,3,,,,
90,Employment Verification Completed company,EVCC,0,3,,,,
91,Job Application Submitted user,JASU,0,3,,,,
92,Job Application Submitted company,JASC,0,3,,,,
93,Hired Confirmation User,HCU,0,3,,,,
94,Hired Confirmation Company,HCC,0,3,,,,
95,You have made a new connection User,MNCU,0,3,,,,
96,You have made a new connection Company,MNCC,0,3,,,,
97,Requested to View Your Profile User,CRVSU,0,3,,,,
98,Requested to View Your Profile Company,CRVSU,0,3,,,,
99,New Jobs Posted Today.,NJPT,0,3,New Jobs Posted Today.,email/trigger/new_jobs_post_today,,
100,candidates have joined CC today.,CHJT,0,3,candidates have joined CC today.,email/trigger/candidate_have_joined_today,,
101,Job Viewed but Not Applied,CHJT,0,3,Job Viewed but Not Applied,email/schedule/employee/job_viewed_but_not_applied,,
102,Hasn’t Applied to any jobs user,HAJU,0,3,Your next opportunity is waiting!\r\n,email/schedule/employee/has_not_applied_to_any_jobs_user,,
103,Hasn’t Applied to any jobs company,HAJC,0,3,Your Next Candidate is Waiting!\r\n,email/schedule/company/has_not_applied_to_any_jobs_company,,
104,New Job Opportunity Matches Your Skills,HAJC,0,3,New Job Opportunity Matches Your Skills,email/schedule/company/new_job_match_your_skill,,
105,Candidate Matches Your Job Requirement,HAJC,0,3,Candidate Matches Your Job Requirement,email/schedule/company/candidate_matches_your_job_requirement,,
106,Inactivity for 7 Days (No Logins or Actions) user,ILAU,0,3,Don't Miss Out on New Job Opportunities,email/schedule/employee/inactivity_for_7_days,,
107,Inactivity for 7 Days (No Logins or Actions) company,ILAC,0,3,Don't Miss Out on New Talent for Your Openings,email/schedule/company/inactivity_for_7_days,,
108,Employment Verfication Request Sent by Employer user,ILAU,0,3, Confirm Your Employment with [Employer Name],,,
109,Employment Verfication Request Sent by Employer company,ILAC,0,3,Verification Request Sent to [Employee Name]\r\n,,,
110,Unified Account Update on Collar Check\r\n,UAUC,1,2, Unified Account Update on Collar Check\r\n,email/schedule/company/unified_email_company_new,,
111,Action required! Authorization request for Greenback Forex Services's page access,UAUC,1,2,Action required! Authorization request for Greenback Forex Services's page access,email/trigger/invite_merge_company,,
112,Claim Your Verified profile Now,CYVPN,1,1,YOUR WORK HISTORY JUST GOT VERIFIED!,email/schedule/employee/claim_your_profile_now,,
113,Domain Verification Pending company,DVPC,1,3,Pending Domain Verification Request on Collar Check,,,
114,Domain Verification Pending User,DVPU,1,3,Your Domain Verification Request is Pending!,,,
115,Domain Verification Rejected User,DVRU,1,3,Domain Verification Request Rejected!,email/trigger/domain_verification_reject_user,,
116,Domain Verification Rejected Company,DVRC,1,3,Domain Verification Request Rejected!,email/trigger/domain_verification_reject_company,,
117,Job Post Collaborator Added User,JPCAU,1,3, You’ve Been Added as a Collaborator on a Job Post,,,
118,Job Post Collaborator Added Company,JPCAC,1,3,Job Post Collaborator Added ,,,
119,Level 1 Verified User,LVU,1,3,You’ve Reached Level 1 Verification on Collar Check!,,,
