id,heading,status,variant,widget,type,api,min_limit,slug,api_slug
1,Position Closing Soon,1,DEFAULT,JOB,USER,urgent_job,0,position-closing-soon,auth-all-job
2,Organizations Near You,1,DISTANCE,COMPANY_FOLLOW,USER,near,0,organizations-near-you,nearby-company
3,Start a Conversation,1,DEFAULT,MESSAGE,BOTH,message,0,start-a-conversation,general/all-message
4,See Who’s Here From Your College,1,UNIVERSITY,EMPLOYEE_FOLLOW,USER,university,0,see-whos-here-from-your-college,people-similar-university
5,Connect with Past Colleagues,1,PAST_COMPANY,EMPLOYEE_FOLLOW,USER,past_company,0,connect-with-past-colleagues,user-past-company
7,Industry Leaders on Collar Check,1,TOP,COMPANY_FOLLOW,USER,top_company,0,industry-leaders-on-collar-check,home/top-company
8,CC Star Performer,1,DEFAULT,EMPLOYEE_FOLLOW,COMPANY,feature_employee,0,cc-star-performer,featured-employee
9,Recommended for You,1,FOLLOWER,EMPLOYEE_FOLLOW,USER,might_know,0,recommended-for-you,people-might-know
10,Talent Like You,0,FOLLOWER,EMPLOYEE_FOLLOW,BOTH,similar_profile,1,talent-like-you,similaremployee
11,Recommended Employees,1,FOLLOWER,EMPLOYEE_FOLLOW,COMPANY,recommend_employee,0,recommended-employees,recommended-employee-general
12,Explore Industry Peers,1,FOLLOWER,COMPANY_FOLLOW,COMPANY,similar_companies,0,explore-industry-peers,similarcompany
13,Recentaly Posted Job,0,POSTED_JOB,JOB,COMPANY,posted_job,0,recentaly-posted-job,
14,Companies Where People You are Following Work,0,MUTUAL,COMPANY_FOLLOW,USER,following_work,0,,
15,Featured Companies,0,DEFAULT,EMPLOYEE_FOLLOW,USER,feature_company,0,,
16,Talent Near of You,1,DISTANCE,EMPLOYEE_FOLLOW,COMPANY,near,0,talent-near-you,nearby-employee
17,Joiners with Immediate Availability,1,DEFAULT,EMPLOYEE_FOLLOW,COMPANY,immediate_joiner,0,joiners-with-immediate-availability,immediate-joiner
18,Serving Notice Period,1,FOLLOWER,EMPLOYEE_FOLLOW,COMPANY,notice_period,0,employees-on-notice-period,notice-period
19,Alternative Employers in Your Industry,1,FOLLOWER,COMPANY_FOLLOW,USER,similar_companies_current,0,alternative-employers-in-your-industry,similar-companies-current
20,People on CC from Your College ,0,FOLLOWER,EMPLOYEE_FOLLOW,,,0,,
21,Recently Joined Your Team,1,UNIVERSITY,EMPLOYEE_FOLLOW,COMPANY,people_recentaly_join,0,recently-joined-your-team,people-recentaly-join
22,Exploring Fresh Career Paths\n,1,DEFAULT,EMPLOYEE_FOLLOW,COMPANY,currentaly_unemployed,0,exploring-fresh-career-paths,currentaly-unemployed
23,Emerging Talent,1,DEFAULT,EMPLOYEE_FOLLOW,COMPANY,freshers,0,emerging-talent,freshers
24,Impressions on Jobs Posted,0,VIEW,JOB,COMPANY,jobs_impressions,0,jobs-impressions-on-job-posted,jobs-impressions
25,People Who viewed your profile,1,DEFAULT,EMPLOYEE_FOLLOW,COMPANY,people_viewed_profile,0,people-who-viewed-your-profile,people-viewed-profile
26,Companies who viewed your Profile,1,FOLLOWER,COMPANY_FOLLOW,USER,company_viewed_profile,0,company-who-viewed-your-profile,company-viewed-profile
27,Similar Jobs,0,DEFAULT,JOB,USER,similar_jobs,0,similar-jobs,similar-jobs
