id,user,type,title,description,youtube,image,video,pdf,url,status,sortOrder,is_deleted,create_date,modify_date
1,53,1,"Make s advertisements, logo, publicity materials and book layouts. Sticker, Label, Artwork etc.","Make visual communications such as advertisements, logo, publicity materials and book layouts.\r\ncreate media products such as magazines, labels, advertising\r\nMake Catalogue, Sticker, Label, Artwork etc.\r\n",,,,,,1,1,0,2025-03-24 00:00:00,2025-03-24 00:00:00
2,32,1,PSA Oxygen Generation Plant,"Specializing in healthcare and industrial sectors, we deliver top-notch PSA Oxygen Generation Plants offering reliable, cost-effective, and efficient oxygen production. Our recent milestone includes the swift installation of over 150 plants within three months, marking significant impacts in meeting urgent oxygen needs.",,uploads/document/1742820374_556dc49ac701cfe4a0ed.jpeg,,,,1,1,0,2025-03-24 00:00:00,2025-03-24 00:00:00
3,32,1,Arab Health Dubai,"I have had the privilege of representing our company at Arab Health Dubai for the past three consecutive years. This prestigious event has provided invaluable opportunities to showcase our solutions, engage with industry leaders, and expand our global network. Through strategic discussions, trend analysis, and business collaborations, I have strengthened our market presence, enhanced brand visibility, and contributed to our company’s growth in the international healthcare sector.",,,,,,1,1,0,2025-03-24 00:00:00,2025-03-24 00:00:00
4,60,1,PSA OXYGEN GENERATION PLANT ,"I was an integral part of the successful installation of 150 PSA oxygen generation plants within a record time of just three months. This project showcased our team's efficiency, dedication, and ability to execute large-scale healthcare infrastructure swiftly and effectively.",,,,,,1,1,0,2025-03-24 00:00:00,2025-03-24 00:00:00
5,22,1,"Amrita Hospital, Faridabad","Guided team in the development of India's largest Pneumatic tube  system in \""Amrita institute of medical science Faridabad. \r\n",,uploads/document/1742895540_8e24946d1c1ec9fba8a4.jpg,,,,1,1,0,2025-03-25 00:00:00,2025-03-25 00:00:00
9,18,3,Indo Group ,,,,,,https://www.indogroup.in/,1,1,1,2025-03-26 00:00:00,2025-03-26 00:00:00
10,18,3,Aranayam,,,,,,https://www.aranayam.com/,1,1,0,2025-03-26 00:00:00,2025-03-26 00:00:00
11,19,3,Lumiford,"Role: Backend Developer\r\nResponsibility: \r\nNode.js\r\nRESTful API Development\r\nMySQL & Database Optimization\r\nJavaScript,\r\nAuthentication (JWT, OAuth)\r\nThird-Party API Integration\r\nMVC Architecture\r\nGit, GitHub, Bitbucket\r\nAgile & Scrum Methodologies\r\nPostman & API Testing",,,,,https://www.lumiford.com/,1,4,0,2025-03-26 00:00:00,2025-05-29 00:00:00
12,19,1,India Shelter,"Role: Backend Developer\r\nResponsibility: \r\nNode.js\r\nRESTful API Development\r\nMySQL & Database Optimization\r\nJavaScript,\r\nAuthentication (JWT, OAuth)\r\nThird-Party API Integration\r\nMVC Architecture\r\nGit, GitHub, Bitbucket\r\nAgile & Scrum Methodologies\r\nPostman & API Testing",,,,,,1,3,0,2025-03-26 00:00:00,2026-06-04 00:00:00
13,19,3,Smartpart exports,"Role: Backend Developer\r\nResponsibility: \r\nNode.js\r\nRESTful API Development\r\nMySQL & Database Optimization\r\nJavaScript,\r\nAuthentication (JWT, OAuth)\r\nThird-Party API Integration\r\nMVC Architecture\r\nGit, GitHub, Bitbucket\r\nAgile & Scrum Methodologies\r\nPostman & API Testing",,,,,https://www.smartpartsexports.com/,1,5,0,2025-03-26 00:00:00,2025-05-29 00:00:00
