id,name,description,menu_id,status,is_deleted,create_date,modify_date
1,Write and approve a Review & Star Rating,Submit and approve performance reviews and star ratings for employees.,8,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
2,Invite Employees,Send verified invitations to employees to join your company on CollarCheck,5,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
3,Mark as Left,Update an employee’s status when they exit or leave the company.,5,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
4,Delete Review,Permanently remove an employee’s review and star rating.,8,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
5,Edit Company Profile,Edit your company’s public-facing profile and details.,2,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
6,Add Access,Provide employees with specific permissions and feature access,13,0,1,2025-08-29 15:49:55,2025-08-29 15:49:55
7,Assign Roles,Assign predefined or custom roles to employees based on responsibilities.,13,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
8,Download all employees,Export your company’s entire verified employee list.,5,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
9,View all employees,Access the full list of verified employees in the company.,5,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
10,View only reporting employees,Access only the employees directly or indirectly reporting to you.,,0,1,2025-08-29 15:49:55,2025-08-29 15:49:55
11,Verify Employment, Confirm and authenticate the employment details of an employee.,6,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
12,Post/Manage Jobs,"Create, update, and manage job postings on behalf of the company.",7,1,0,2025-08-29 15:49:55,2025-08-29 15:49:55
13,Add Branches,"Create new branches for offices, departments, or teams.\n",,0,0,2025-08-29 15:49:55,2025-08-29 15:49:55
14,Manage Branches,"Edit branch details, assign managers, or delete branches (if eligible).\n",,0,0,2025-08-29 15:49:55,2025-08-29 15:49:55
15,Create Roles,Build new custom roles with selected permissions for organizational control.\n,13,0,1,2025-08-29 15:49:55,2025-08-29 15:49:55
